id,name,country,water_type,area_sqm,elevation,length_m,lat,lon,os_map,google_sat,compactness,aspect_ratio,area_hectares
0,Loch Coire an Lochain,Scotland,,90994,995.1,493,57.08278,-3.74558,https://tarns.netlify.app/?id=0,"https://www.google.com/maps/@?api=1&map_action=map&center=57.08278,-3.74558&zoom=15&basemap=satellite",0.691,1.82,9.1
1,Lochan Uaine,Scotland,,38289,952.5,311,57.063,-3.64877,https://tarns.netlify.app/?id=1,"https://www.google.com/maps/@?api=1&map_action=map&center=57.063,-3.64877&zoom=15&basemap=satellite",0.637,1.1,3.83
2,Dubh Lochan,Scotland,,53046,930.9,316,57.07419,-3.49194,https://tarns.netlify.app/?id=2,"https://www.google.com/maps/@?api=1&map_action=map&center=57.07419,-3.49194&zoom=15&basemap=satellite",0.715,1.1,5.3
3,Loch a Choire Dhomhain,Scotland,,18806,925.6,200,57.29288,-5.08937,https://tarns.netlify.app/?id=3,"https://www.google.com/maps/@?api=1&map_action=map&center=57.29288,-5.08937&zoom=15&basemap=satellite",0.744,1.49,1.88
4,Loch Etchachan,Scotland,,270648,925.5,923,57.08306,-3.64012,https://tarns.netlify.app/?id=4,"https://www.google.com/maps/@?api=1&map_action=map&center=57.08306,-3.64012&zoom=15&basemap=satellite",0.558,1.68,27.06
5,(unnamed),Scotland,,7405,914.1,113,57.10555,-3.6832,https://tarns.netlify.app/?id=5,"https://www.google.com/maps/@?api=1&map_action=map&center=57.10555,-3.6832&zoom=15&basemap=satellite",0.686,1.03,0.74
6,Lochan Uaine,Scotland,,47572,911.8,348,57.06115,-3.71699,https://tarns.netlify.app/?id=6,"https://www.google.com/maps/@?api=1&map_action=map&center=57.06115,-3.71699&zoom=15&basemap=satellite",0.762,1.63,4.76
7,Lochan Uaine,Scotland,,20327,900.2,289,56.95717,-4.59864,https://tarns.netlify.app/?id=7,"https://www.google.com/maps/@?api=1&map_action=map&center=56.95717,-4.59864&zoom=15&basemap=satellite",0.701,2.84,2.03
8,Loch Uaine,Scotland,,5686,898.7,131,57.2829,-5.11588,https://tarns.netlify.app/?id=8,"https://www.google.com/maps/@?api=1&map_action=map&center=57.2829,-5.11588&zoom=15&basemap=satellite",0.524,1.11,0.57
9,Loch nan Eun,Scotland,,78303,897.8,398,56.9532,-3.2678,https://tarns.netlify.app/?id=9,"https://www.google.com/maps/@?api=1&map_action=map&center=56.9532,-3.2678&zoom=15&basemap=satellite",0.729,1.02,7.83
10,(unnamed),Scotland,,7144,872.2,241,57.08719,-3.53544,https://tarns.netlify.app/?id=10,"https://www.google.com/maps/@?api=1&map_action=map&center=57.08719,-3.53544&zoom=15&basemap=satellite",0.352,2.69,0.71
11,Loch nan Stuirteag,Scotland,,39048,866.4,353,57.04039,-3.74617,https://tarns.netlify.app/?id=11,"https://www.google.com/maps/@?api=1&map_action=map&center=57.04039,-3.74617&zoom=15&basemap=satellite",0.536,1.47,3.9
12,(unnamed),Scotland,pond,10435,862.8,161,57.10539,-4.2565,https://tarns.netlify.app/?id=12,"https://www.google.com/maps/@?api=1&map_action=map&center=57.10539,-4.2565&zoom=15&basemap=satellite",0.68,1.44,1.04
13,Loch nan Cnapan,Scotland,,24400,862.7,291,57.04286,-3.78651,https://tarns.netlify.app/?id=13,"https://www.google.com/maps/@?api=1&map_action=map&center=57.04286,-3.78651&zoom=15&basemap=satellite",0.676,2.24,2.44
14,(unnamed),Scotland,,9393,857.7,272,56.87938,-3.31354,https://tarns.netlify.app/?id=14,"https://www.google.com/maps/@?api=1&map_action=map&center=56.87938,-3.31354&zoom=15&basemap=satellite",0.623,4.91,0.94
